Date,Manifest,Path
Wed Nov 22 12:49:22 PST 2023,FileMapToIndividual,/Users/nlee/Documents/Projects/cohort_builder_data_dictionary/manifest-templates/FileMapToIndividual.xlsx
Wed Nov 22 12:49:38 PST 2023,IndividualMetadata,/Users/nlee/Documents/Projects/cohort_builder_data_dictionary/manifest-templates/IndividualMetadata.xlsx
